-1/15:{* <32, 8>^^2 *}
291546910741641055583105024/382127162858793:{* <25, 5>^^2 *}
297106512928238351998640242081/3977028808593750000:{* <16, 2>^^4 *}
300872095888141441/22515023872:{* <25, 5>^^2 *}
324503698618794407582644992737281/268431360:{* <32, 16>^^2 *}
326573981641149886485204481/2690010:{* <32, 16>^^2 *}
3358085834636749/382:{* <25, 10> *}
351/4:{* <28, 9>^^2 *}
3552277140342294754589991537894721/152581640625:{* <32, 8>^^2 *}
3634704740957616196378170215513091769/168224880645019054412841796875000:{* <24, 4>^^2 *}
364421318680576777174674911/450962301637624725000000:{* <24, 4>^^2 *}
36546944013036856482908761/14157275332658039712000:{* <24, 4>^^2 *}
378499465220294881/120530818800:{* <16, 2>^^4 *}
3922540634246430781376/71:{* <25, 10> *}
44992447464066442427196092139811199/65124493101588450372219085693359375:{* <32, 8>^^2 *}
45960438227854760543785319/46920791622800342016000000:{* <24, 4>^^2 *}
5107501047547200669121/69461926257623040:{* <32, 8>^^2 *}
52300395461270777993673352489/30181158775846600704000000:{* <24, 4>^^2 *}
5345287166085790635663218704920974401/226978257155929261920000:{* <16, 2>^^4 *}
5444502293860223539938743709179943321601/68719411200:{* <32, 8>^^2 *}
546397111960658404325211701139833360188801/209323126216982833463548776182030859375:{* <32, 8>^^2 *}
5481351580593489628916345933548801/688740975:{* <32, 8>^^2 *}
56667352321/15:{* <32, 8>^^2 *}
56868272654707881404486749117441/10748658652923870314496000:{* <24, 4>^^2 *}
573007087724441463649920782881/67058993610000000000000000:{* <16, 2>^^4 *}
591720065532918583239955136329/116891407012939453125000000:{* <24, 4>^^2 *}
628284678908027418152998936285681/19884708881378173828125000:{* <24, 4>^^2 *}
6271688643866537984/1353:{* <25, 10> *}
68699533290471196810719174361/268409217024000:{* <24, 4>^^2 *}
70809965983288820433601/2711034593280:{* <32, 16>^^2 *}
79184385609230668294081/42941745:{* <32, 8>^^2 *}
818546927584539194367471866449/14273634375000:{* <24, 4>^^2 *}
8827236347661221188886967161105287201/46539238473000000:{* <24, 4>^^2 *}
96653256179049031824319796125471784879999/341359290480134366830343600487545241600:{* <32, 8>^^2 *}
